PERMNO,date,TICKER,COMNAM,CUSIP,PRC
10421,20100129,SKYW,SKYWEST INC,83087910,14.63000
10421,20100226,SKYW,SKYWEST INC,83087910,14.76000
10421,20100331,SKYW,SKYWEST INC,83087910,14.28000
10421,20100430,SKYW,SKYWEST INC,83087910,14.98000
10421,20100528,SKYW,SKYWEST INC,83087910,14.66500
10421,20100630,SKYW,SKYWEST INC,83087910,12.22000
10421,20100730,SKYW,SKYWEST INC,83087910,12.45000
10421,20100831,SKYW,SKYWEST INC,83087910,12.74000
10421,20100930,SKYW,SKYWEST INC,83087910,13.96000
10421,20101029,SKYW,SKYWEST INC,83087910,15.16000
10421,20101130,SKYW,SKYWEST INC,83087910,16.19000
10421,20101231,SKYW,SKYWEST INC,83087910,15.62000
10421,20110131,SKYW,SKYWEST INC,83087910,15.05000
10421,20110228,SKYW,SKYWEST INC,83087910,16.50000
10421,20110331,SKYW,SKYWEST INC,83087910,16.92000
10421,20110429,SKYW,SKYWEST INC,83087910,16.52000
10421,20110531,SKYW,SKYWEST INC,83087910,15.43000
10421,20110630,SKYW,SKYWEST INC,83087910,15.06000
10421,20110729,SKYW,SKYWEST INC,83087910,12.86000
10421,20110831,SKYW,SKYWEST INC,83087910,12.75000
10421,20110930,SKYW,SKYWEST INC,83087910,11.51000
10421,20111031,SKYW,SKYWEST INC,83087910,13.41000
10421,20111130,SKYW,SKYWEST INC,83087910,12.13000
10421,20111230,SKYW,SKYWEST INC,83087910,12.59000
10421,20120131,SKYW,SKYWEST INC,83087910,12.80000
10421,20120229,SKYW,SKYWEST INC,83087910,11.42000
10421,20120330,SKYW,SKYWEST INC,83087910,11.05000
10421,20120430,SKYW,SKYWEST INC,83087910,8.99000
10421,20120531,SKYW,SKYWEST INC,83087910,7.05000
10421,20120629,SKYW,SKYWEST INC,83087910,6.53000
10421,20120731,SKYW,SKYWEST INC,83087910,7.00000
10421,20120831,SKYW,SKYWEST INC,83087910,8.77000
10421,20120928,SKYW,SKYWEST INC,83087910,10.33000
10421,20121031,SKYW,SKYWEST INC,83087910,10.94000
10421,20121130,SKYW,SKYWEST INC,83087910,11.59000
10421,20121231,SKYW,SKYWEST INC,83087910,12.46000
10421,20130131,SKYW,SKYWEST INC,83087910,12.64000
10421,20130228,SKYW,SKYWEST INC,83087910,14.00000
10421,20130328,SKYW,SKYWEST INC,83087910,16.05000
10421,20130430,SKYW,SKYWEST INC,83087910,14.31000
10421,20130531,SKYW,SKYWEST INC,83087910,14.02000
10421,20130628,SKYW,SKYWEST INC,83087910,13.54000
10421,20130731,SKYW,SKYWEST INC,83087910,15.12000
10421,20130830,SKYW,SKYWEST INC,83087910,12.89000
10421,20130930,SKYW,SKYWEST INC,83087910,14.52000
10421,20131031,SKYW,SKYWEST INC,83087910,15.04000
